Date,Article_title,Stock_symbol,Url,Publisher,Author,Article,Lsa_summary,Luhn_summary,Textrank_summary,Lexrank_summary,Sentiment_deepseek,risk_deepseek,risk_deepseekconf
2020-04-22,Gene Munster Sees Apple And Tesla As Biggest Winners This Earnings Season,AAPL,https://www.benzinga.com/analyst-ratings/analyst-color/20/04/15854037/gene-munster-sees-apple-and-tesla-as-biggest-winners-this-earnings-season,Craig Jones,,,,,,,3.0,,
2020-04-23,"Apple Acknowledges Security Flaw in iPhone, iPads That Hackers May Have Used To Steal Data For Years",AAPL,https://www.benzinga.com/news/20/04/15862299/apple-acknowledges-security-flaw-in-iphone-ipads-that-hackers-may-have-used-to-steal-data-for-years,Neer Varshney,,,,,,,3.0,,
2020-04-24,Apple Says No Evidence iPhone Mail Flaw Used Against Customers,AAPL,https://www.benzinga.com/news/20/04/15872482/apple-says-no-evidence-iphone-mail-flaw-used-against-customers,Charles Gross,,,,,,,3.0,3.0,0.5
2020-04-25,"Bulls And Bears Of The Week: Amazon, Boeing, Disney, Netflix And More",AAPL,https://www.benzinga.com/trading-ideas/long-ideas/20/04/15880458/bulls-and-bears-of-the-week-amazon-boeing-disney-netflix-and-more,Nelson Hem,,,,,,,3.0,3.0,0.5
2020-04-26,Amazon Pilots Online Screening Of New Sellers During Pandemic,AAPL,https://www.benzinga.com/news/20/04/15881298/amazon-pilots-online-screening-of-new-sellers-during-pandemic,Neer Varshney,,,,,,,3.0,3.0,0.5
2020-04-27,3 Sector ETFs For This Week's Earnings Parade,AAPL,https://www.benzinga.com/news/earnings/20/04/15881281/3-sector-etfs-for-this-weeks-earnings-parade,ETF Professor,,,,,,,3.0,3.0,0.5
2020-04-28,"Earnings Feast: Bring a Plate With Healthcare and Caterpillar in Morning, GOOGL And AMD Later",AAPL,https://www.benzinga.com/news/earnings/20/04/15896240/earnings-feast-bring-a-plate-with-healthcare-and-caterpillar-in-morning-googl-and-amd-later,JJ Kinahan,,,,,,,3.0,3.0,0.5
2020-04-29,AT&T Is Hoping HBO Max Will Turn The Tide,AAPL,https://www.benzinga.com/news/earnings/20/04/15884396/at-t-is-hoping-hbo-max-will-turn-the-tide,IAM Newswire,,,,,,,3.0,,
2020-04-30,Apple CEO Tim Cook: Apple To Work With Google To Improve COVID-19 Contact Tracing,AAPL,https://www.benzinga.com/news/earnings/20/04/15928232/apple-ceo-tim-cook-apple-to-work-with-google-to-improve-covid-19-contact-tracing,Benzinga Newsdesk,,,,,,,3.0,,
2020-05-01,"Piper Sandler Maintains Overweight on Apple, Raises Price Target to $310",AAPL,https://www.benzinga.com/news/20/05/15930948/piper-sandler-maintains-overweight-on-apple-raises-price-target-to-310,Vick Meyer,,,,,,,3.0,,
2020-05-02,Tim Cook On Warren Buffett: 'I Don't Think There's A Better Teacher',AAPL,https://www.benzinga.com/news/19/05/13672277/tim-cook-on-warren-buffett-i-dont-think-theres-a-better-teacher,Elizabeth Balboa,,,,,,,3.0,3.0,0.5
2020-05-04,"Hearing Apple To Reopen Stores Starting Friday, Region Not Specified",AAPL,https://www.benzinga.com/news/20/05/15948429/hearing-apple-to-reopen-stores-starting-friday-region-not-specified,Benzinga Newsdesk,,,,,,,3.0,,
2020-05-05,Apple to Host Virtual Worldwide Developers Conference Beginning June 22,AAPL,https://www.benzinga.com/press-releases/20/05/15957266/apple-to-host-virtual-worldwide-developers-conference-beginning-june-22,Benzinga Newsdesk,,,,,,,3.0,,
2020-05-06,A Recap Of Social Media Earnings,AAPL,https://www.benzinga.com/news/earnings/20/05/15945240/a-recap-of-social-media-earnings,IAM Newswire,,,,,,,3.0,,
2020-05-08,"Apple Says Social-Distancing Guidelines Will Limit Number Of Customers In Stores, May Create Delays For Walk-In Customers",AAPL,https://www.benzinga.com/news/20/05/15992299/apple-says-social-distancing-guidelines-will-limit-number-of-customers-in-stores-may-create-delays-f,Benzinga Newsdesk,,,,,,,3.0,3.0,0.5
2020-05-09,"Barron's Picks And Pans: Boyd Gaming, Domino's Pizza, Exxon And More",AAPL,https://www.benzinga.com/media/20/05/15996204/barrons-picks-and-pans-boyd-gaming-dominos-pizza-exxon-and-more,Nelson Hem,,,,,,,3.0,,
2020-05-11,"Trump, Intel, TSMC Plan US 'Self-Sufficiency' In Semiconductors As Coronavirus Gives Supply-Chain Scare",AAPL,https://www.benzinga.com/government/20/05/15996979/trump-intel-tsmc-plan-us-self-sufficiency-in-semiconductors-as-coronavirus-gives-supply-chain-scare,Neer Varshney,,,,,,,3.0,,
2020-05-12,"Wedbush Maintains Outperform on Apple, Raises Price Target to $350",AAPL,https://www.benzinga.com/news/20/05/16010010/wedbush-maintains-outperform-on-apple-raises-price-target-to-350,Vick Meyer,,,,,,,3.0,,
2020-05-13,"Apple Encourages Chinese Tech Company To Rival Foxconn, Aims To Foster Competition",AAPL,https://www.benzinga.com/news/20/05/16018605/apple-encourages-chinese-tech-company-to-rival-foxconn-aims-to-foster-competition,Shivdeep Dhaliwal,,,,,,,3.0,3.0,0.5
2020-05-14,"'Apple's computerized glasses won't be ready until 2022 'at the earliest,' top analyst says' -CNBC Article",AAPL,https://www.benzinga.com/news/20/05/16035352/apples-computerized-glasses-wont-be-ready-until-2022-at-the-earliest-top-analyst-says-cnbc-article,Benzinga Newsdesk,,,,,,,3.0,,
2020-05-15,13F From Buffett's Berkshire Shows Maintained Stake In Apple,AAPL,https://www.benzinga.com/news/20/05/16048421/13f-from-buffetts-berkshire-shows-maintained-stake-in-apple,Benzinga Newsdesk,,,,,,,3.0,,
2020-05-16,"Ubisoft Sues Apple, Google Over Alibaba's Rainbow Six ""Ripoff""",AAPL,https://www.benzinga.com/news/20/05/16052003/ubisoft-sues-apple-google-over-alibabas-rainbow-six-ripoff,Charles Gross,,,,,,,3.0,,
2020-05-17,"Barron's Picks And Pans: Cisco, Gilead, Netflix, Wayfair And More",AAPL,https://www.benzinga.com/top-stories/20/05/16051966/barrons-picks-and-pans-cisco-gilead-netflix-wayfair-and-more,Nelson Hem,,,,,,,3.0,3.0,0.5
2020-05-18,"More Than 25 US Apple Stores To Reopen, 100 Now Open Around The World",AAPL,https://www.benzinga.com/news/20/05/16052612/more-than-25-us-apple-stores-to-reopen-100-now-open-around-the-world,Shivdeep Dhaliwal,,,,,,,3.0,3.0,0.5
2020-05-19,Sony To Convert Its Financial Subsidiary Into Wholly Owned Unit Through $3.7B Tender Offer,AAPL,https://www.benzinga.com/fintech/20/05/16061824/sony-to-convert-its-financial-subsidiary-into-wholly-owned-unit-through-3-7b-tender-offer,Shivdeep Dhaliwal,,,,,,,3.0,3.0,0.5
2020-05-20,Smartphone Sales Picking up in China,AAPL,https://www.benzinga.com/news/20/05/16072691/smartphone-sales-picking-up-in-china,Benzinga Newsdesk,,,,,,,3.0,3.0,0.5
2020-05-21,Hearing Evercore ISI Raises Price Target On Apple From $330 To $345,AAPL,https://www.benzinga.com/news/20/05/16083197/hearing-evercore-isi-raises-price-target-on-apple-from-330-to-345,Benzinga Newsdesk,,,,,,,3.0,3.0,0.5
2020-05-22,The Secret to Tech's Resilience to COVID-19- Infrastructure Expansion,AAPL,https://www.benzinga.com/news/earnings/20/05/16093892/the-secret-to-techs-resilience-to-covid-19-infrastructure-expansion,IAM Newswire,,,,,,,3.0,,
2020-05-25,Apple Expected to Incorporate Ambient Light Sensors in Next-generation Airpods Devices,AAPL,https://www.benzinga.com/news/20/05/16101534/apple-expected-to-incorporate-ambient-light-sensors-in-next-generation-airpods-devices,Charles Gross,,,,,,,3.0,,
2020-05-26,"'FAANG Stocks Are Strong Once Again,' Facebook, Amazon, Netflix Hit Record Highs Last Week",AAPL,https://www.benzinga.com/news/20/05/16103196/faang-stocks-are-strong-once-again-facebook-amazon-netflix-hit-record-highs-last-week,Neer Varshney,,,,,,,3.0,,
2020-05-27,"Deutsche Bank Maintains Buy on Apple, Raises Price Target to $320",AAPL,https://www.benzinga.com/news/20/05/16114459/deutsche-bank-maintains-buy-on-apple-raises-price-target-to-320,Benzinga_Newsdesk,,,,,,,3.0,3.0,0.5
2020-05-28,Swiss National Bank Ready To Buy Much More Tech Stocks To Weaken The Franc,AAPL,https://talkmarkets.com/content/swiss-national-bank-ready-to-buy-much-more-tech-stocks-to-weaken-the-franc?post=263588,TalkMarkets,,,,,,,3.0,,
2020-05-29,"4 Stocks to Watch as Dow Breezes Past 25,000 Points",AAPL,http://www.zacks.com/stock/news/951452/4-stocks-to-watch-as-dow-breezes-past-25000-points?cid=CS-BENZ-FT-analyst_blog|industry_focus-951452,Zacks,,,,,,,3.0,,
2020-05-30,"A Confused Goldman No Longer Expects S&P To Drop To 2,400 But Sees No Market Upside Either",AAPL,https://talkmarkets.com/content/a-confused-goldman-no-longer-expects-sp-to-drop-to-2400-but-sees-no-market-upside-either?post=263854,TalkMarkets,,,,,,,3.0,,
2020-05-31,Buybacks Are Back: Here's Who Is Repurchasing The Most Stocks,AAPL,https://talkmarkets.com/content/buybacks-are-back-heres-who-is-repurchasing-the-most-stocks?post=263915,TalkMarkets,,,,,,,3.0,3.0,0.5
2020-06-01,All Eyes on Market Volatility,AAPL,https://talkmarkets.com/content/all-eyes-on-market-volatility?post=264043,TalkMarkets,,,,,,,3.0,,
2020-06-02,'Apple is tracking iPhones stolen by looters' -Earlier NY Post Article,AAPL,https://www.benzinga.com/news/20/06/16161103/apple-is-tracking-iphones-stolen-by-looters-earlier-ny-post-article,Benzinga Newsdesk,,,,,,,3.0,,
2020-06-09,Big Tech Reaches New Record Heights At The Stock Market,AAPL,https://www.benzinga.com/news/20/06/16218615/big-tech-reaches-new-record-heights-at-the-stock-market,Neer Varshney,,,,,,,3.0,,
2020-06-10,"Deutsche Bank Maintains Buy on Apple, Raises Price Target to $350",AAPL,https://www.benzinga.com/news/20/06/16219873/deutsche-bank-maintains-buy-on-apple-raises-price-target-to-350,Benzinga Newsdesk,,,,,,,3.0,3.0,0.65
2022-06-03,"4 Top Stock Trades for Monday: SPY, AAPL, LULU, MU",AAPL,https://www.nasdaq.com/articles/4-top-stock-trades-for-monday%3A-spy-aapl-lulu-mu,,,"InvestorPlace - Stock Market News, Stock Advice & Trading Tips
We had the jobs report before the open, and despite it coming in ahead of economists’ expectations, it wasn’t enough to lift the market. We’ll touch on the S&P 500 as part of our top stock trades for next week.
Note: This will be the last Top Stock Trades column for a bit. Thank you to everyone who have been readers over the years. Discussing technical analysis and different timeframes has been a true pleasure. Now mind your risk and trade ‘em well!
Top Stock Trades for Monday No. 1: S&P 500 ETF

Click to Enlarge
Source: Chart courtesy of TrendSpider
I look at the SPDR S&P 500 ETF (NYSEARCA:SPY) everyday. We had a powerful three-day burst of 80%-plus upside volume last week, setting a bullish tone coming into this week. So far though, it’s been a choppy consolidation period.
That’s as the S&P trades into a prior support zone — which failed last month — and is holding above the 10-day and 21-day moving averages. Bulls want to see the SPY hold above $407 and the 10-day moving average.
However, they need to see the SPY hold above $405. If it loses $405, it loses momentum and puts $400 or lower back in play.
7 Oversold Value Stocks to Buy for June
If the SPY can hold up, next week’s focus will be on $417.50, which is roughly this week’s high. Above that (and thus the 10-week moving average) and bulls could be looking at a push to the $421 level, followed by the 50-day moving average.
Top Stock Trades for Monday No. 2: Apple

Click to Enlarge
Source: Chart courtesy of TrendSpider
Apple (NASDAQ:AAPL) was trading quite well this week, holding above the 10-day and 21-day moving averages. It even reclaimed the vital $150 level, closing above it on Thursday.
Friday was a different story. The stock fell roughly 4%, breaking back below its short-term moving averages. On the plus side, it’s holding that $144-and-change area. I would like to see a bit more of a catalyst than that, though.
From here, bulls want to see Apple reclaim the 10-day and 21-day and preferably clear Friday’s high near $148.
On the downside, a break and close below $144 opens the door down to the $136 to $138 area, where Apple stock hammered out a nice low last month. A test of this area keeps the 2022 low in play, near $133.
Top Stock Trades for Monday No. 3: Lululemon

Click to Enlarge
Source: Chart courtesy of TrendSpider
Lululemon Athletica (NASDAQ:LULU) delivered a beat-and-raise quarter, but the stock is down slightly on the day. On the plus side, it’s holding its short-term moving averages and hit its highest level in several weeks.
If it can hold above $300 and clear $315, Lululemon stock could power up to the $330 to $335 area. There it finds the 50% retracement and 50-day moving average. Above that opens up significantly more upside.
7 Overlooked Value Stocks to Buy Before Wall Street Catches On
On the downside, a break of the post-earnings low, as well as the 10-day and 21-day moving averages puts the key $285 level in play. Below that and the $265 gap-fill level is vulnerable.
Top Trades for Monday No. 4: Micron

Click to Enlarge
Source: Chart courtesy of TrendSpider
Micron (NASDAQ:MU) looked like it was ready to join Advanced Micro Devices (NASDAQ:AMD) with a powerful breakout, but couldn’t get going over $75. That was resistance in back-to-back sessions and marks a key resistance point on the chart.
With today’s tumble, Micron is breaking below too many key moving averages. Now we have to see how it sets up again. Can it reclaim Friday’s high and these key moving averages, putting $75 back in play?
If not, it may have a date with range support down near $65 to $66. Otherwise, it’s caught in the middle of the range and is too much of a coin flip at current levels.
On the date of publication, Bret Kenwell did not have (either directly or indirectly) any positions in the securities mentioned in this article. The opinions expressed in this article are those of the writer, subject to the InvestorPlace.com Publishing Guidelines.
The post 4 Top Stock Trades for Monday: SPY, AAPL, LULU, MU appeared first on InvestorPlace.
The views and opinions expressed herein are the views and opinions of the author and do not necessarily reflect those of Nasdaq, Inc.","Click to Enlarge Source: Chart courtesy of TrendSpider Apple (NASDAQ:AAPL) was trading quite well this week, holding above the 10-day and 21-day moving averages. The post 4 Top Stock Trades for Monday: SPY, AAPL, LULU, MU appeared first on InvestorPlace. Click to Enlarge Source: Chart courtesy of TrendSpider Lululemon Athletica (NASDAQ:LULU) delivered a beat-and-raise quarter, but the stock is down slightly on the day.","Click to Enlarge Source: Chart courtesy of TrendSpider Apple (NASDAQ:AAPL) was trading quite well this week, holding above the 10-day and 21-day moving averages. The post 4 Top Stock Trades for Monday: SPY, AAPL, LULU, MU appeared first on InvestorPlace. Click to Enlarge Source: Chart courtesy of TrendSpider Lululemon Athletica (NASDAQ:LULU) delivered a beat-and-raise quarter, but the stock is down slightly on the day.","Click to Enlarge Source: Chart courtesy of TrendSpider Apple (NASDAQ:AAPL) was trading quite well this week, holding above the 10-day and 21-day moving averages. The post 4 Top Stock Trades for Monday: SPY, AAPL, LULU, MU appeared first on InvestorPlace. Above that (and thus the 10-week moving average) and bulls could be looking at a push to the $421 level, followed by the 50-day moving average.","Click to Enlarge Source: Chart courtesy of TrendSpider Apple (NASDAQ:AAPL) was trading quite well this week, holding above the 10-day and 21-day moving averages. The post 4 Top Stock Trades for Monday: SPY, AAPL, LULU, MU appeared first on InvestorPlace. Bulls want to see the SPY hold above $407 and the 10-day moving average.",4.0,3.0,0.7
